marque,annee,prix,adress,proprietaire
Hyundai,2017,35000.0,"Thiès,Thiès",Par AlfaBusinessGroup BARRY
Mitsubishi,2018,50000.0,"Thiès,Thiès",Par AlfaBusinessGroup BARRY
Ford,2013,30000.0,"Guédiawaye,Dakar",Par TERANGUA  BII
Ford,2013,4500000.0,"Guédiawaye,Dakar",Par TERANGUA  BII
Ford,2017,45000.0,"Guédiawaye,Dakar",Par Mouhamed  Sene
Jeep,2016,60000.0,"Cambérène,Dakar",Par Mouhamed  Sene
Ford,2014,30000.0,"Médina,Dakar",Par Mouhamed  Sene
Hyundai,2015,30000.0,"Parcelles Assainies,Dakar",Par Mouhamed  Sene
Ford,2016,30000.0,"Parcelles Assainies,Dakar",Par Gallas  FAYE
Mazda,2016,50000.0,"Ouest Foire,Dakar",Par Mouhamed  Sene
Citroen,2014,20000.0,"Médina,Dakar",Par Chasseur  Automobile
Peugeot,2013,30000.0,"Grand-Yoff,Dakar",Par Chic Drive
Ford,2014,30000.0,"Sangalkam,Dakar",Par Medoune Ndiaye
Ford,2015,35000.0,"Cité Keur gorgui,Dakar",Par Pape  Cheikh automobile
Toyota,2020,35000.0,"Mermoz Sacré-Coeur,Dakar",Par LocAuto Sénégal Location de voiture
Hyundai,2015,20000.0,"Mermoz Sacré-Coeur,Dakar",Par LocAuto Sénégal Location de voiture
Hyundai,2015,20000.0,"Mermoz Sacré-Coeur,Dakar",Par LocAuto Sénégal Location de voiture
Toyota,2014,25000.0,"Mermoz Sacré-Coeur,Dakar",Par LocAuto Sénégal Location de voiture
Ford,2014,30000.0,"Médina,Dakar",Par Bakay Samassa
Kia,2015,25000.0,"Almadies,Dakar",Par Moustapha SAMBA
Hyundai,2014,35000.0,"Parcelles Assainies,Dakar",Par DRT Automobile
Hyundai,2014,37000.0,"Parcelles Assainies,Dakar",Par DRT Automobile
Hyundai,2020,50000.0,"Pikine Ouest,Dakar",Par David  Niang
Hyundai,2013,19500.0,"Nord Foire,Dakar",Par Mouhamed Diallo
Nissan,2015,35000.0,"Thiès,Thiès",Par AlfaBusinessGroup BARRY
Kia,2012,35000.0,"Almadies,Dakar",Par Moustapha SAMBA
Mitsubishi,2014,40000.0,"Ouest Foire,Dakar",Par Rent Auto
Ford,2015,75000.0,"Médina,Dakar",Par Kena Impact  Groupes
Citroen,2014,30000.0,"Guédiawaye,Dakar",Par unicar UNICAR
Ford,2013,30000.0,"Point-E,Dakar",Par TECHZONE .
Kia,2014,25000.0,"Ouakam,Dakar",Par Valer NDOUBA
Bmw,2014,70000.0,"Virage,Dakar",Par Coulibaly  Mamadou
Ford,2020,35000.0,"Biscuiterie,Dakar",Par Evrad  Peter
Ford,2020,40000.0,"Médina,Dakar",Par BS Auto
Ford,2015,30000.0,"Médina,Dakar",Par SEN  BAZAR
Hyundai,2014,30000.0,"Médina,Dakar",Par SEN  BAZAR
Ford,2019,60000.0,"Yoff,Dakar",Par A vos  services
Kia,2020,40000.0,"Yoff,Dakar",Par Abdia ...
Ford,2019,35000.0,"Cité Keur gorgui,Dakar",Par Madiba Auto rent
Hyundai,2019,30000.0,"Liberté 6,Dakar",Par Car Service Dakar
Renault,2019,10000.0,"Ouakam,Dakar",Par Boutik Promo
Ford,2015,45000.0,"Point-E,Dakar",Par TECHZONE .
Hyundai,2020,50000.0,"Mbour,Thiès",Par Yva Ndour
Hyundai,2015,30000.0,"Médina,Dakar",Par SEN  BAZAR
Chevrolet,2013,25000.0,"Sicap Sacré Coeur,Dakar",Par Amadou  gaye
Renault,2010,70000.0,"Parcelles Assainies,Dakar",Par NAWANAM SUARL
Renault,2010,50000.0,"Parcelles Assainies,Dakar",Par NAWANAM SUARL
Isuzu,2010,35000.0,"Parcelles Assainies,Dakar",Par NAWANAM SUARL
Ford,2018,60000.0,"Grand-Yoff,Dakar",Par Atlantic  auto
Hyundai,2014,30000.0,"Hann Maristes,Dakar","Par Babs Motos,  Scooters"
Ford,2014,45000.0,"Ouest Foire,Dakar",Par Lamine Konare
Ford,2013,45000.0,"Ouest Foire,Dakar",Par Lamine Konare
Ford,2016,60000.0,"Médina,Dakar",Par Kena Impact  Groupes
Hyundai,2016,35000.0,"Liberté 2,Dakar",Par Elhadj ben  abdallah
Ford,2016,40000.0,"Yoff,Dakar",Par Babacar ba  résidence
Mitsubishi,2016,35000.0,"Parcelles Assainies,Dakar",Par Lamine  Fall
Toyota,2017,40000.0,"Hlm,Dakar",Par Taiba Immo  Services
Ford,2016,40000.0,"Ouakam,Dakar",Par VPS  SERVICES
Toyota,2014,50000.0,"Bel Air,Dakar",Par travelsencar ..
Kia,2016,1.0,"Yoff,Dakar",Par A vos  services
Jeep,2020,50000.0,"Yoff,Dakar",Par A vos  services
Hyundai,2017,35000.0,"VDN,Dakar",Par Valer NDOUBA
Ford,2017,35000.0,"VDN,Dakar",Par Valer NDOUBA
Ford,2014,25000.0,"Patte d'oie,Dakar",Par Trade Company
Chrysler,2015,30000.0,"Fann,Dakar",Par Jules  BADJI
Nissan,2014,40000.0,"Ouakam,Dakar",Par LOCA VOITURE  DAKAR
Toyota,2016,40000.0,"Diamaguene Sicap Mbao,Dakar",Par Cartel .
Hyundai,2016,25000.0,"VDN,Dakar",Par MODOU  LO
Skoda,2016,25000.0,"Hlm,Dakar",Par DAKAR MOTORS  PRO-SUARL
